File,Result,Runtime (s)
ChenFlurMukhopadhyay-SAS2012-Ex4.01_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,1.029
ChooseLife_false-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.6444
Collatz_unknown-termination.c_Iteration4_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.1777
ColonSipma-TACAS2001-Fig1_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSOLVED,4.0
Copenhagen_disj_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.7371
Et1_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.0666
Et1_true_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.0567
Et4_false-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,SAT,0.2401
Et4_false-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,SAT,0.2191
Et4_true_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.1494
Et4_true_true-termination.c_Iteration2_Loop+nonterminationTemplate_0.smt2,UNSAT,0.1405
Et4_true_true-termination.c_Iteration3_Loop+nonterminationTemplate_0.smt2,UNSAT,0.1629
Et4_true_true-termination.c_Iteration4_Loop+nonterminationTemplate_0.smt2,UNSAT,0.1801
EvenOdd01_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,1.3544
GCD4_true-termination.c_Iteration2_Loop+nonterminationTemplate_0.smt2,UNSAT,2.1947
Gothenburg_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,1.6172
Gothenburg_v2_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.9085
Hanoi_plus_false-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,0.3647
Hanoi_plus_false-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.2851
HarrisLalNoriRajamani-SAS2010-Fig1_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSOLVED,4.0
HarrisLalNoriRajamani-SAS2010-Fig1_true-termination.c_Iteration2_Lasso+nonterminationTemplate_0.smt2,UNSOLVED,4.0
HeizmannHoenickeLeikePodelski-ATVA2013-Fig2_true-termination.c_Iteration1_Lasso+nonterminationTemplate_0.smt2,UNSAT,1.5264
LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2,UNSAT,0.0954
LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1_true-termination.c_Iteration3_Loop+nonterminationTemplate_0.smt2,UNSAT,0.0917
gauss_sum_true-unreach-call.i.smt2,UNSAT,0.0733
linear_sea.ch_true-unreach-call.i_162.smt2,UNSAT,0.01
linear_sea.ch_true-unreach-call.i_163.smt2,UNSAT,0.0094
linear_sea.ch_true-unreach-call.i_164.smt2,UNSAT,0.0094
linear_sea.ch_true-unreach-call.i_75.smt2,UNSAT,0.0095
linear_sea.ch_true-unreach-call.i_76.smt2,UNSAT,0.0095
linear_sea.ch_true-unreach-call.i_77.smt2,UNSAT,0.0097
Avery-2006FLOPS-Tabel1_true-alloca_true-termination.c.i_Iteration2_Lasso+nonterminationTemplate.smt2,UNSAT,0.2193
Ben-Amram-2010LMCS-Ex2.3-alloca_true-termination.c.i_Iteration4_Lasso+nonterminationTemplate.smt2,UNSAT,0.0752
BradleyMannaSipma-2005CAV-Fig1-alloca_unknown-termination.c.i_Iteration5_Lasso+nonterminationTemplate.smt2,UNSAT,1.0011
BradleyMannaSipma-2005CAV-Fig1-modified-alloca_unknown-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,SAT,0.0269
BradleyMannaSipma-2005ICALP-Fig1-alloca_unknown-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,SAT,0.0246
BrockschmidtCookFuhs-2013CAV-Fig1-alloca_true-termination.c.i_Iteration3_Lasso+nonterminationTemplate.smt2,UNSAT,0.0436
ChenFlurMukhopadhyay-2012SAS-Fig1-alloca_true-termination.c.i_Iteration1_Lasso+nonterminationTemplate.smt2,UNSAT,0.0703
CookSeeZuleger-2013TACAS-Fig7a-alloca_true-termination.c.i_Iteration8_Lasso+nonterminationTemplate.smt2,UNSAT,0.1479
GulwaniJainKoskinen-2009PLDI-Fig1-alloca_true-termination.c.i_Iteration3_Lasso+nonterminationTemplate.smt2,UNSAT,0.1015
